date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:08:25	24114/24114	---M-Z	200	added ('OK')	text/css	etag:%225e32-620247fe76d44-gzip%22	https://www.afci-formation.fr/wp-content/themes/kadence/assets/css/global.min.css?ver=1.2.9	C:/Users/Cisco/Bureau/Bureau/aspirationSiteWeb/Afci/www.afci-formation.fr/wp-content/themes/kadence/assets/css/global.min077c.css	(from https://www.afci-formation.fr/)
10:08:25	26606/26606	---M-Z	200	added ('OK')	text/css	etag:%2267ee-620247fe76d44-gzip%22	https://www.afci-formation.fr/wp-content/themes/kadence/assets/css/header.min.css?ver=1.2.9	C:/Users/Cisco/Bureau/Bureau/aspirationSiteWeb/Afci/www.afci-formation.fr/wp-content/themes/kadence/assets/css/header.min077c.css	(from https://www.afci-formation.fr/)
10:08:25	33990/33990	---M-Z	200	added ('OK')	text/css	etag:%2284c6-620247fe73e64-gzip%22	https://www.afci-formation.fr/wp-content/themes/kadence/assets/css/content.min.css?ver=1.2.9	C:/Users/Cisco/Bureau/Bureau/aspirationSiteWeb/Afci/www.afci-formation.fr/wp-content/themes/kadence/assets/css/content.min077c.css	(from https://www.afci-formation.fr/)
10:08:26	996/996	---M-Z	200	added ('OK')	text/css	etag:%223e4-620247fe78c84-gzip%22	https://www.afci-formation.fr/wp-content/themes/kadence/assets/css/related-posts.min.css?ver=1.2.9	C:/Users/Cisco/Bureau/Bureau/aspirationSiteWeb/Afci/www.afci-formation.fr/wp-content/themes/kadence/assets/css/related-posts.min077c.css	(from https://www.afci-formation.fr/)
10:08:26	9097/9097	---M-Z	200	added ('OK')	text/css	etag:%222389-620247fe77ce4-gzip%22	https://www.afci-formation.fr/wp-content/themes/kadence/assets/css/kadence-splide.min.css?ver=1.2.9	C:/Users/Cisco/Bureau/Bureau/aspirationSiteWeb/Afci/www.afci-formation.fr/wp-content/themes/kadence/assets/css/kadence-splide.min077c.css	(from https://www.afci-formation.fr/)
10:08:26	19975/19975	---M-Z	200	added ('OK')	text/css	etag:%224e07-620247fe75da4-gzip%22	https://www.afci-formation.fr/wp-content/themes/kadence/assets/css/footer.min.css?ver=1.2.9	C:/Users/Cisco/Bureau/Bureau/aspirationSiteWeb/Afci/www.afci-formation.fr/wp-content/themes/kadence/assets/css/footer.min077c.css	(from https://www.afci-formation.fr/)
10:08:27	9559/9559	---M-Z	200	added ('OK')	text/css	etag:%222557-620247fe828c4-gzip%22	https://www.afci-formation.fr/wp-content/themes/kadence/assets/css/tribe-events.min.css?ver=1.2.9	C:/Users/Cisco/Bureau/Bureau/aspirationSiteWeb/Afci/www.afci-formation.fr/wp-content/themes/kadence/assets/css/tribe-events.min077c.css	(from https://www.afci-formation.fr/)
10:08:27	3829/3829	---M-Z	200	added ('OK')	text/css	etag:%22ef5-61f2e216a630b-gzip%22	https://www.afci-formation.fr/wp-content/plugins/essential-addons-for-elementor-lite/assets/front-end/css/view/general.min.css?ver=5.9.27	C:/Users/Cisco/Bureau/Bureau/aspirationSiteWeb/Afci/www.afci-formation.fr/wp-content/plugins/essential-addons-for-elementor-lite/assets/front-end/css/view/general.min9cb2.css	(from https://www.afci-formation.fr/)
10:08:27	58071/58071	---M-Z	200	added ('OK')	text/css	etag:%22e2d7-61f2947c2e87c-gzip%22	https://www.afci-formation.fr/wp-content/plugins/elementor/assets/lib/font-awesome/css/fontawesome.min.css?ver=5.15.3	C:/Users/Cisco/Bureau/Bureau/aspirationSiteWeb/Afci/www.afci-formation.fr/wp-content/plugins/elementor/assets/lib/font-awesome/css/fontawesome.min52d5.css	(from https://www.afci-formation.fr/)
10:08:28	675/675	---M-Z	200	added ('OK')	text/css	etag:%222a3-61f2947c2d8dc-gzip%22	https://www.afci-formation.fr/wp-content/plugins/elementor/assets/lib/font-awesome/css/brands.min.css?ver=5.15.3	C:/Users/Cisco/Bureau/Bureau/aspirationSiteWeb/Afci/www.afci-formation.fr/wp-content/plugins/elementor/assets/lib/font-awesome/css/brands.min52d5.css	(from https://www.afci-formation.fr/)
10:08:28	669/669	---M-Z	200	added ('OK')	text/css	etag:%2229d-61f2947c2e87c-gzip%22	https://www.afci-formation.fr/wp-content/plugins/elementor/assets/lib/font-awesome/css/solid.min.css?ver=5.15.3	C:/Users/Cisco/Bureau/Bureau/aspirationSiteWeb/Afci/www.afci-formation.fr/wp-content/plugins/elementor/assets/lib/font-awesome/css/solid.min52d5.css	(from https://www.afci-formation.fr/)
